t,Course,Hole,Par,Player,Hits,Diff,Team
1,Maroon,1,3,Alan,4,1,2
2,Maroon,2,2,Alan,3,1,2
3,Maroon,3,2,Alan,3,1,2
4,Maroon,4,2,Alan,3,1,2
5,Maroon,5,2,Alan,2,0,2
6,Maroon,6,2,Alan,3,1,2
7,Maroon,7,3,Alan,2,-1,2
8,Maroon,8,3,Alan,3,0,2
9,Maroon,9,2,Alan,2,0,2
10,Maroon,10,2,Alan,3,1,2
11,Maroon,11,2,Alan,3,1,2
12,Maroon,12,2,Alan,4,2,2
13,Maroon,13,2,Alan,4,2,2
14,Maroon,14,2,Alan,5,3,2
15,Maroon,15,3,Alan,3,0,2
16,Maroon,16,2,Alan,4,2,2
17,Maroon,17,2,Alan,2,0,2
18,Maroon,18,3,Alan,3,0,2
19,White,1,3,Alan,3,0,2
20,White,2,3,Alan,2,-1,2
21,White,3,2,Alan,3,1,2
22,White,4,2,Alan,3,1,2
23,White,5,2,Alan,2,0,2
24,White,6,3,Alan,3,0,2
25,White,7,2,Alan,3,1,2
26,White,8,2,Alan,2,0,2
27,White,9,2,Alan,3,1,2
28,White,10,2,Alan,5,3,2
29,White,11,3,Alan,3,0,2
30,White,12,2,Alan,3,1,2
31,White,13,2,Alan,3,1,2
32,White,14,2,Alan,2,0,2
33,White,15,2,Alan,5,3,2
34,White,16,2,Alan,2,0,2
35,White,17,2,Alan,4,2,2
36,White,18,3,Alan,3,0,2
1,Maroon,1,3,Javi,4,1,2
2,Maroon,2,2,Javi,4,2,2
3,Maroon,3,2,Javi,4,2,2
4,Maroon,4,2,Javi,3,1,2
5,Maroon,5,2,Javi,2,0,2
6,Maroon,6,2,Javi,4,2,2
7,Maroon,7,3,Javi,5,2,2
8,Maroon,8,3,Javi,5,2,2
9,Maroon,9,2,Javi,2,0,2
10,Maroon,10,2,Javi,2,0,2
11,Maroon,11,2,Javi,4,2,2
12,Maroon,12,2,Javi,2,0,2
13,Maroon,13,2,Javi,2,0,2
14,Maroon,14,2,Javi,3,1,2
15,Maroon,15,3,Javi,4,1,2
16,Maroon,16,2,Javi,2,0,2
17,Maroon,17,2,Javi,2,0,2
18,Maroon,18,3,Javi,4,1,2
19,White,1,3,Javi,5,2,2
20,White,2,3,Javi,2,-1,2
21,White,3,2,Javi,2,0,2
22,White,4,2,Javi,3,1,2
23,White,5,2,Javi,4,2,2
24,White,6,3,Javi,3,0,2
25,White,7,2,Javi,3,1,2
26,White,8,2,Javi,4,2,2
27,White,9,2,Javi,5,3,2
28,White,10,2,Javi,2,0,2
29,White,11,3,Javi,2,-1,2
30,White,12,2,Javi,2,0,2
31,White,13,2,Javi,3,1,2
32,White,14,2,Javi,1,-1,2
33,White,15,2,Javi,3,1,2
34,White,16,2,Javi,3,1,2
35,White,17,2,Javi,2,0,2
36,White,18,3,Javi,5,2,2
1,Maroon,1,3,Kazuki,2,-1,2
2,Maroon,2,2,Kazuki,5,3,2
3,Maroon,3,2,Kazuki,4,2,2
4,Maroon,4,2,Kazuki,6,4,2
5,Maroon,5,2,Kazuki,5,3,2
6,Maroon,6,2,Kazuki,3,1,2
7,Maroon,7,3,Kazuki,4,1,2
8,Maroon,8,3,Kazuki,5,2,2
9,Maroon,9,2,Kazuki,3,1,2
10,Maroon,10,2,Kazuki,3,1,2
11,Maroon,11,2,Kazuki,3,1,2
12,Maroon,12,2,Kazuki,3,1,2
13,Maroon,13,2,Kazuki,4,2,2
14,Maroon,14,2,Kazuki,3,1,2
15,Maroon,15,3,Kazuki,3,0,2
16,Maroon,16,2,Kazuki,2,0,2
17,Maroon,17,2,Kazuki,3,1,2
18,Maroon,18,3,Kazuki,5,2,2
19,White,1,3,Kazuki,3,0,2
20,White,2,3,Kazuki,1,-2,2
21,White,3,2,Kazuki,2,0,2
22,White,4,2,Kazuki,2,0,2
23,White,5,2,Kazuki,2,0,2
24,White,6,3,Kazuki,2,-1,2
25,White,7,2,Kazuki,2,0,2
26,White,8,2,Kazuki,2,0,2
27,White,9,2,Kazuki,3,1,2
28,White,10,2,Kazuki,3,1,2
29,White,11,3,Kazuki,2,-1,2
30,White,12,2,Kazuki,3,1,2
31,White,13,2,Kazuki,3,1,2
32,White,14,2,Kazuki,2,0,2
33,White,15,2,Kazuki,5,3,2
34,White,16,2,Kazuki,5,3,2
35,White,17,2,Kazuki,5,3,2
36,White,18,3,Kazuki,3,0,2
1,Maroon,1,3,Joshua,3,0,2
2,Maroon,2,2,Joshua,3,1,2
3,Maroon,3,2,Joshua,2,0,2
4,Maroon,4,2,Joshua,3,1,2
5,Maroon,5,2,Joshua,2,0,2
6,Maroon,6,2,Joshua,3,1,2
7,Maroon,7,3,Joshua,3,0,2
8,Maroon,8,3,Joshua,2,-1,2
9,Maroon,9,2,Joshua,3,1,2
10,Maroon,10,2,Joshua,3,1,2
11,Maroon,11,2,Joshua,4,2,2
12,Maroon,12,2,Joshua,2,0,2
13,Maroon,13,2,Joshua,5,3,2
14,Maroon,14,2,Joshua,2,0,2
15,Maroon,15,3,Joshua,2,-1,2
16,Maroon,16,2,Joshua,3,1,2
17,Maroon,17,2,Joshua,2,0,2
18,Maroon,18,3,Joshua,3,0,2
19,White,1,3,Joshua,2,-1,2
20,White,2,3,Joshua,2,-1,2
21,White,3,2,Joshua,2,0,2
22,White,4,2,Joshua,3,1,2
23,White,5,2,Joshua,4,2,2
24,White,6,3,Joshua,4,1,2
25,White,7,2,Joshua,4,2,2
26,White,8,2,Joshua,2,0,2
27,White,9,2,Joshua,4,2,2
28,White,10,2,Joshua,2,0,2
29,White,11,3,Joshua,2,-1,2
30,White,12,2,Joshua,2,0,2
31,White,13,2,Joshua,3,1,2
32,White,14,2,Joshua,2,0,2
33,White,15,2,Joshua,2,0,2
34,White,16,2,Joshua,3,1,2
35,White,17,2,Joshua,1,-1,2
36,White,18,3,Joshua,3,0,2
1,Maroon,1,3,Pryank,6,3,2
2,Maroon,2,2,Pryank,2,0,2
3,Maroon,3,2,Pryank,4,2,2
4,Maroon,4,2,Pryank,2,0,2
5,Maroon,5,2,Pryank,3,1,2
6,Maroon,6,2,Pryank,4,2,2
7,Maroon,7,3,Pryank,5,2,2
8,Maroon,8,3,Pryank,5,2,2
9,Maroon,9,2,Pryank,4,2,2
10,Maroon,10,2,Pryank,2,0,2
11,Maroon,11,2,Pryank,4,2,2
12,Maroon,12,2,Pryank,3,1,2
13,Maroon,13,2,Pryank,2,0,2
14,Maroon,14,2,Pryank,3,1,2
15,Maroon,15,3,Pryank,4,1,2
16,Maroon,16,2,Pryank,4,2,2
17,Maroon,17,2,Pryank,4,2,2
18,Maroon,18,3,Pryank,3,0,2
19,White,1,3,Pryank,5,2,2
20,White,2,3,Pryank,5,2,2
21,White,3,2,Pryank,3,1,2
22,White,4,2,Pryank,3,1,2
23,White,5,2,Pryank,2,0,2
24,White,6,3,Pryank,3,0,2
25,White,7,2,Pryank,4,2,2
26,White,8,2,Pryank,3,1,2
27,White,9,2,Pryank,4,2,2
28,White,10,2,Pryank,5,3,2
29,White,11,3,Pryank,3,0,2
30,White,12,2,Pryank,2,0,2
31,White,13,2,Pryank,3,1,2
32,White,14,2,Pryank,3,1,2
33,White,15,2,Pryank,5,3,2
34,White,16,2,Pryank,3,1,2
35,White,17,2,Pryank,2,0,2
36,White,18,3,Pryank,2,-1,2
1,Maroon,1,3,Roshan,4,1,2
2,Maroon,2,2,Roshan,2,0,2
3,Maroon,3,2,Roshan,4,2,2
4,Maroon,4,2,Roshan,6,4,2
5,Maroon,5,2,Roshan,4,2,2
6,Maroon,6,2,Roshan,4,2,2
7,Maroon,7,3,Roshan,5,2,2
8,Maroon,8,3,Roshan,3,0,2
9,Maroon,9,2,Roshan,5,3,2
10,Maroon,10,2,Roshan,3,1,2
11,Maroon,11,2,Roshan,2,0,2
12,Maroon,12,2,Roshan,2,0,2
13,Maroon,13,2,Roshan,4,2,2
14,Maroon,14,2,Roshan,2,0,2
15,Maroon,15,3,Roshan,4,1,2
16,Maroon,16,2,Roshan,5,3,2
17,Maroon,17,2,Roshan,3,1,2
18,Maroon,18,3,Roshan,2,-1,2
19,White,1,3,Roshan,6,3,2
20,White,2,3,Roshan,3,0,2
21,White,3,2,Roshan,2,0,2
22,White,4,2,Roshan,3,1,2
23,White,5,2,Roshan,4,2,2
24,White,6,3,Roshan,2,-1,2
25,White,7,2,Roshan,3,1,2
26,White,8,2,Roshan,4,2,2
27,White,9,2,Roshan,1,-1,2
28,White,10,2,Roshan,6,4,2
29,White,11,3,Roshan,3,0,2
30,White,12,2,Roshan,2,0,2
31,White,13,2,Roshan,2,0,2
32,White,14,2,Roshan,2,0,2
33,White,15,2,Roshan,3,1,2
34,White,16,2,Roshan,2,0,2
35,White,17,2,Roshan,5,3,2
36,White,18,3,Roshan,2,-1,2
19,Maroon,1,3,Jose,2,-1,1
20,Maroon,2,2,Jose,4,2,1
21,Maroon,3,2,Jose,4,2,1
22,Maroon,4,2,Jose,2,0,1
23,Maroon,5,2,Jose,4,2,1
24,Maroon,6,2,Jose,3,1,1
25,Maroon,7,3,Jose,2,-1,1
26,Maroon,8,3,Jose,3,0,1
27,Maroon,9,2,Jose,3,1,1
28,Maroon,10,2,Jose,3,1,1
29,Maroon,11,2,Jose,4,2,1
30,Maroon,12,2,Jose,2,0,1
31,Maroon,13,2,Jose,3,1,1
32,Maroon,14,2,Jose,4,2,1
33,Maroon,15,3,Jose,3,0,1
34,Maroon,16,2,Jose,3,1,1
35,Maroon,17,2,Jose,3,1,1
36,Maroon,18,3,Jose,3,0,1
1,White,1,3,Jose,3,0,1
2,White,2,3,Jose,2,-1,1
3,White,3,2,Jose,4,2,1
4,White,4,2,Jose,4,2,1
5,White,5,2,Jose,3,1,1
6,White,6,3,Jose,4,1,1
7,White,7,2,Jose,1,-1,1
8,White,8,2,Jose,3,1,1
9,White,9,2,Jose,5,3,1
10,White,10,2,Jose,3,1,1
11,White,11,3,Jose,3,0,1
12,White,12,2,Jose,3,1,1
13,White,13,2,Jose,4,2,1
14,White,14,2,Jose,1,-1,1
15,White,15,2,Jose,3,1,1
16,White,16,2,Jose,5,3,1
17,White,17,2,Jose,2,0,1
18,White,18,3,Jose,5,2,1
19,Maroon,1,3,Gerard,3,0,1
20,Maroon,2,2,Gerard,3,1,1
21,Maroon,3,2,Gerard,6,4,1
22,Maroon,4,2,Gerard,5,3,1
23,Maroon,5,2,Gerard,3,1,1
24,Maroon,6,2,Gerard,3,1,1
25,Maroon,7,3,Gerard,3,0,1
26,Maroon,8,3,Gerard,5,2,1
27,Maroon,9,2,Gerard,3,1,1
28,Maroon,10,2,Gerard,3,1,1
29,Maroon,11,2,Gerard,3,1,1
30,Maroon,12,2,Gerard,2,0,1
31,Maroon,13,2,Gerard,2,0,1
32,Maroon,14,2,Gerard,3,1,1
33,Maroon,15,3,Gerard,3,0,1
34,Maroon,16,2,Gerard,2,0,1
35,Maroon,17,2,Gerard,2,0,1
36,Maroon,18,3,Gerard,3,0,1
1,White,1,3,Gerard,2,-1,1
2,White,2,3,Gerard,3,0,1
3,White,3,2,Gerard,2,0,1
4,White,4,2,Gerard,4,2,1
5,White,5,2,Gerard,3,1,1
6,White,6,3,Gerard,3,0,1
7,White,7,2,Gerard,3,1,1
8,White,8,2,Gerard,3,1,1
9,White,9,2,Gerard,3,1,1
10,White,10,2,Gerard,3,1,1
11,White,11,3,Gerard,3,0,1
12,White,12,2,Gerard,3,1,1
13,White,13,2,Gerard,3,1,1
14,White,14,2,Gerard,3,1,1
15,White,15,2,Gerard,4,2,1
16,White,16,2,Gerard,3,1,1
17,White,17,2,Gerard,4,2,1
18,White,18,3,Gerard,4,1,1
19,Maroon,1,3,David,4,1,1
20,Maroon,2,2,David,2,0,1
21,Maroon,3,2,David,2,0,1
22,Maroon,4,2,David,4,2,1
23,Maroon,5,2,David,4,2,1
24,Maroon,6,2,David,4,2,1
25,Maroon,7,3,David,2,-1,1
26,Maroon,8,3,David,4,1,1
27,Maroon,9,2,David,3,1,1
28,Maroon,10,2,David,3,1,1
29,Maroon,11,2,David,3,1,1
30,Maroon,12,2,David,3,1,1
31,Maroon,13,2,David,3,1,1
32,Maroon,14,2,David,2,0,1
33,Maroon,15,3,David,3,0,1
34,Maroon,16,2,David,5,3,1
35,Maroon,17,2,David,3,1,1
36,Maroon,18,3,David,4,1,1
1,White,1,3,David,4,1,1
2,White,2,3,David,3,0,1
3,White,3,2,David,3,1,1
4,White,4,2,David,5,3,1
5,White,5,2,David,3,1,1
6,White,6,3,David,3,0,1
7,White,7,2,David,4,2,1
8,White,8,2,David,3,1,1
9,White,9,2,David,3,1,1
10,White,10,2,David,4,2,1
11,White,11,3,David,4,1,1
12,White,12,2,David,2,0,1
13,White,13,2,David,4,2,1
14,White,14,2,David,3,1,1
15,White,15,2,David,2,0,1
16,White,16,2,David,2,0,1
17,White,17,2,David,3,1,1
18,White,18,3,David,3,0,1
19,Maroon,1,3,Alex,2,-1,1
20,Maroon,2,2,Alex,3,1,1
21,Maroon,3,2,Alex,2,0,1
22,Maroon,4,2,Alex,2,0,1
23,Maroon,5,2,Alex,6,4,1
24,Maroon,6,2,Alex,2,0,1
25,Maroon,7,3,Alex,2,-1,1
26,Maroon,8,3,Alex,4,1,1
27,Maroon,9,2,Alex,2,0,1
28,Maroon,10,2,Alex,3,1,1
29,Maroon,11,2,Alex,3,1,1
30,Maroon,12,2,Alex,3,1,1
31,Maroon,13,2,Alex,2,0,1
32,Maroon,14,2,Alex,3,1,1
33,Maroon,15,3,Alex,3,0,1
34,Maroon,16,2,Alex,2,0,1
35,Maroon,17,2,Alex,2,0,1
36,Maroon,18,3,Alex,5,2,1
1,White,1,3,Alex,2,-1,1
2,White,2,3,Alex,2,-1,1
3,White,3,2,Alex,2,0,1
4,White,4,2,Alex,3,1,1
5,White,5,2,Alex,2,0,1
6,White,6,3,Alex,2,-1,1
7,White,7,2,Alex,2,0,1
8,White,8,2,Alex,3,1,1
9,White,9,2,Alex,3,1,1
10,White,10,2,Alex,3,1,1
11,White,11,3,Alex,1,-2,1
12,White,12,2,Alex,3,1,1
13,White,13,2,Alex,2,0,1
14,White,14,2,Alex,3,1,1
15,White,15,2,Alex,3,1,1
16,White,16,2,Alex,3,1,1
17,White,17,2,Alex,2,0,1
18,White,18,3,Alex,2,-1,1
19,Maroon,1,3,Hannah,4,1,1
20,Maroon,2,2,Hannah,3,1,1
21,Maroon,3,2,Hannah,6,4,1
22,Maroon,4,2,Hannah,2,0,1
23,Maroon,5,2,Hannah,2,0,1
24,Maroon,6,2,Hannah,2,0,1
25,Maroon,7,3,Hannah,3,0,1
26,Maroon,8,3,Hannah,2,-1,1
27,Maroon,9,2,Hannah,3,1,1
28,Maroon,10,2,Hannah,5,3,1
29,Maroon,11,2,Hannah,3,1,1
30,Maroon,12,2,Hannah,2,0,1
31,Maroon,13,2,Hannah,4,2,1
32,Maroon,14,2,Hannah,2,0,1
33,Maroon,15,3,Hannah,2,-1,1
34,Maroon,16,2,Hannah,2,0,1
35,Maroon,17,2,Hannah,3,1,1
36,Maroon,18,3,Hannah,5,2,1
1,White,1,3,Hannah,2,-1,1
2,White,2,3,Hannah,2,-1,1
3,White,3,2,Hannah,2,0,1
4,White,4,2,Hannah,2,0,1
5,White,5,2,Hannah,2,0,1
6,White,6,3,Hannah,2,-1,1
7,White,7,2,Hannah,3,1,1
8,White,8,2,Hannah,5,3,1
9,White,9,2,Hannah,4,2,1
10,White,10,2,Hannah,3,1,1
11,White,11,3,Hannah,3,0,1
12,White,12,2,Hannah,2,0,1
13,White,13,2,Hannah,3,1,1
14,White,14,2,Hannah,3,1,1
15,White,15,2,Hannah,5,3,1
16,White,16,2,Hannah,4,2,1
17,White,17,2,Hannah,2,0,1
18,White,18,3,Hannah,4,1,1
